athlete_id,name,sport,era,grand_slams,masters_titles,career_wins,career_matches,weeks_at_no1,yearend_no1_count,years_in_top5,finals_won,finals_played,h2h_top10_wins,h2h_top10_total,hard_win_pct,clay_win_pct,grass_win_pct,clay_win_rate_std,grass_win_rate_std,career_win_rate,finals_win_rate,h2h_top10,surface_versatility,grand_slam_normalized,weeks_no1_normalized,masters_titles_normalized,career_win_rate_normalized,yearend_no1_normalized,finals_win_rate_normalized,h2h_top10_normalized,surface_versatility_normalized,longevity_normalized,composite_score
atp_101767,Lars Jonsson,tennis,Modern Era,0.0,0,86,218,0.0,0,0,0,1,0,11,0.4028,0.4103,0.2222,0.153,0.2582,0.3944954128440367,0.0,0.0,72.34958864207847,0.0,0.0,0.0,19.479249096296257,0.0,0.0,0.0,73.032277603453,0.0,6.33
atp_101772,Andrei Cherkasov,tennis,Modern Era,0.0,0,193,407,0.0,0,0,2,6,10,59,0.4895,0.478,0.0,0.2716,0.0,0.4742014742014742,0.3333333333333333,0.1694915254237288,27.47260797216701,0.0,0.0,0.0,34.14349629368457,0.0,33.33333333333333,23.89830508474576,27.731838833804005,0.0,8.61
atp_101774,Todd Martin,tennis,Modern Era,0.0,0,412,649,0.0,0,2,8,20,34,119,0.6462,0.5776,0.7093,0.1684,0.1281,0.6348228043143297,0.4,0.2857142857142857,82.89859976201787,0.0,0.0,0.0,63.694459543337615,0.0,40.0,40.28571428571428,83.68082893613123,10.0,16.6
atp_101776,Sandon Stolle,tennis,Modern Era,0.0,0,101,221,0.0,0,0,0,1,2,14,0.4265,0.4,0.5714,0.2505,0.2167,0.45701357466063347,0.0,0.14285714285714285,76.04570239645744,0.0,0.0,0.0,30.981282487378532,0.0,0.0,20.14285714285714,76.76326779745601,0.0,8.71
atp_101792,Slava Dosedel,tennis,Modern Era,0.0,0,196,390,0.0,0,0,3,7,13,41,0.427,0.5611,0.3333,0.2138,0.248,0.5025641025641026,0.42857142857142855,0.3170731707317073,70.27388369020653,0.0,0.0,0.0,39.361626337924044,0.0,42.857142857142854,44.707317073170735,70.93698635006491,0.0,13.43
atp_101793,Jim Courier,tennis,Modern Era,6.222222222222221,5,508,745,45.916666666666664,1,4,23,37,53,126,0.7094,0.6845,0.6222,0.2269,0.2973,0.6818791946308724,0.6216216216216216,0.42063492063492064,88.33837760857894,24.24242424242424,12.179487179487179,12.5,72.35185056312588,12.5,62.16216216216216,59.30952380952381,89.17193639434427,20.0,32.43
atp_101797,Jacco Eltingh,tennis,Modern Era,0.0,0,127,274,0.0,0,0,4,4,8,29,0.3776,0.4865,0.5745,0.2235,0.31,0.4635036496350365,1.0,0.27586206896551724,74.39177932006548,0.0,0.0,0.0,32.17532045805977,0.0,100.0,38.89655172413793,75.0937383430817,0.0,16.67
atp_101806,Marc Kevin Goellner,tennis,Modern Era,0.0,0,160,355,0.0,0,0,2,3,14,42,0.3737,0.5118,0.4595,0.1423,0.2498,0.4507042253521127,0.6666666666666666,0.3333333333333333,81.89779777825052,0.0,0.0,0.0,29.82049425698397,0.0,66.66666666666666,47.0,82.67058340915013,0.0,14.96
atp_101809,Nicolas Pereira,tennis,Modern Era,0.0,0,84,214,0.0,0,0,2,2,4,15,0.4018,0.3966,0.3793,0.239,0.2548,0.3925233644859813,1.0,0.26666666666666666,96.9416509257464,0.0,0.0,0.0,19.116433469539285,0.0,100.0,37.6,97.85638998959699,0.0,16.66
atp_101820,Marc Rosset,tennis,Modern Era,0.0,0,434,789,0.0,0,0,16,24,33,96,0.5436,0.5043,0.4746,0.2483,0.2279,0.550063371356147,0.6666666666666666,0.34375,91.01402073446512,0.0,0.0,0.0,48.100497728622074,0.0,66.66666666666666,48.46875,91.87282682378675,0.0,17.41
atp_101843,Sergi Bruguera,tennis,Modern Era,3.1111111111111107,2,447,719,0.0,0,4,15,37,33,85,0.5537,0.6868,0.5,0.2842,0.3436,0.6216968011126565,0.40540540540540543,0.38823529411764707,75.03133737043393,12.12121212121212,0.0,5.0,61.27954965587163,0.0,40.54054054054054,54.741176470588236,75.73933124768139,20.0,21.14
atp_101885,Wayne Arthurs,tennis,Modern Era,0.0,0,134,294,0.0,0,0,1,2,8,31,0.439,0.3704,0.5652,0.2348,0.231,0.4557823129251701,0.5,0.25806451612903225,74.34649714432234,0.0,0.0,0.0,30.754756095959547,0.0,50.0,36.387096774193544,75.04802888582796,0.0,12.9
atp_101888,Daniel Vacek,tennis,Modern Era,0.0,0,177,403,0.0,0,0,0,5,11,62,0.456,0.3529,0.425,0.1834,0.2071,0.4392059553349876,0.0,0.1774193548387097,86.26632582931396,0.0,0.0,0.0,27.70505321019453,0.0,0.0,25.016129032258068,87.08033278481113,0.0,9.25
atp_101889,Todd Woodbridge,tennis,Modern Era,0.0,0,245,482,0.0,0,0,2,9,8,57,0.5302,0.3729,0.5921,0.2268,0.2692,0.508298755186722,0.2222222222222222,0.14035087719298245,70.66033352395297,0.0,0.0,0.0,40.41668240539332,0.0,22.22222222222222,19.789473684210524,71.32708271505741,0.0,10.87
atp_101890,Jonathan Stark,tennis,Modern Era,0.0,0,136,287,0.0,0,0,2,3,6,34,0.457,0.3684,0.4884,0.2063,0.1876,0.4738675958188153,0.6666666666666666,0.17647058823529413,83.84325008775689,0.0,0.0,0.0,34.082069658698586,0.0,66.66666666666666,24.88235294117647,84.63439295940253,0.0,14.4
atp_101897,Fernando Meligeni,tennis,Modern Era,0.0,0,203,420,0.0,0,0,3,6,9,36,0.3486,0.5514,0.1429,0.0728,0.25,0.48333333333333334,0.5,0.25,46.97075979456133,0.0,0.0,0.0,35.82356726194871,0.0,50.0,35.25,47.41397474327041,0.0,11.69
atp_101900,Nicklas Kulti,tennis,Modern Era,0.0,0,155,337,0.0,0,0,3,7,5,30,0.4219,0.4649,0.5357,0.2271,0.3551,0.4599406528189911,0.42857142857142855,0.16666666666666666,85.08102099228662,0.0,0.0,0.0,31.519803610480384,0.0,42.857142857142854,23.5,85.88384344012742,0.0,12.48
atp_101917,Grant Stafford,tennis,Modern Era,0.0,0,83,201,0.0,0,0,0,3,2,25,0.424,0.3333,0.5,0.2408,0.3194,0.4129353233830846,0.0,0.08,78.33207006841143,0.0,0.0,0.0,22.871806724124543,0.0,0.0,11.28,79.07120957923676,0.0,7.6
atp_101924,Stefano Pescosolido,tennis,Modern Era,0.0,0,109,268,0.0,0,0,2,2,4,25,0.4609,0.4037,0.3333,0.2206,0.2817,0.40671641791044777,1.0,0.16,83.40628618559653,0.0,0.0,0.0,21.727658266719583,0.0,100.0,22.56,84.19330587647332,0.0,15.35
atp_101948,Pete Sampras,tennis,Modern Era,21.777777777777775,11,766,996,225.625,6,12,65,89,124,197,0.8015,0.625,0.8361,0.2564,0.1789,0.7690763052208835,0.7303370786516854,0.6294416243654822,70.60504029275363,84.84848484848483,59.84748010610079,27.500000000000004,88.39429404626024,75.0,73.03370786516854,88.75126903553299,71.2712677382713,60.0,69.45
atp_101962,Younes El Aynaoui,tennis,Modern Era,0.0,0,270,502,0.0,0,0,5,16,16,51,0.5027,0.5833,0.5,0.1955,0.3332,0.5378486055776892,0.3125,0.3137254901960784,87.71105119165179,0.0,0.0,0.0,45.85323645660602,0.0,31.25,44.23529411764706,88.53869054058198,0.0,14.3
atp_101964,Goran Ivanisevic,tennis,Modern Era,1.5555555555555554,2,604,937,0.0,0,6,24,52,61,137,0.5831,0.6184,0.7172,0.2991,0.2681,0.6446104589114194,0.46153846153846156,0.44525547445255476,81.95317858279569,6.06060606060606,0.0,5.0,65.49518315268436,0.0,46.15384615384615,62.78102189781022,82.72648678562203,30.0,21.48
atp_101965,Wayne Ferreira,tennis,Modern Era,0.0,2,512,843,0.0,0,0,15,23,32,117,0.6333,0.5769,0.6602,0.1864,0.2126,0.6073546856465006,0.6521739130434783,0.27350427350427353,88.96282300014914,0.0,0.0,5.0,58.64090056259823,0.0,65.21739130434783,38.56410256410256,89.8022740374643,0.0,18.45
